中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
47.245.127.165,443,8.222.236.107,SG,Singapore,隧道,176 ms,51 Mbps,6568 kB/s
8.212.48.236,443,47.76.21.95,HK,Hong Kong,隧道,188 ms,89 Mbps,11468 kB/s
8.222.247.97,443,47.245.84.175,SG,Singapore,隧道,180 ms,83 Mbps,10649 kB/s
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,136 ms,128 Mbps,16486 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:138,KR,Seoul,隧道,142 ms,121 Mbps,15564 kB/s
146.56.166.18,443,2602:ffe4:407:21d9:0:b3b:a1e3:3312,SG,Singapore,隧道,218 ms,66 Mbps,8535 kB/s
8.222.222.186,443,8.222.207.55,SG,Singapore,隧道,256 ms,83 Mbps,10649 kB/s
8.219.78.190,443,8.219.142.198,SG,Singapore,隧道,176 ms,61 Mbps,7931 kB/s
8.219.237.2,443,8.222.222.65,SG,Singapore,隧道,176 ms,61 Mbps,7829 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,142 ms,96 Mbps,12288 kB/s
47.90.141.204,443,91.149.239.70,US,Los Angeles,隧道,64 ms,27 Mbps,3554 kB/s
47.57.233.126,443,47.88.10.133,US,San Jose,隧道,184 ms,0 Mbps,32 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,146 ms,21 Mbps,2721 kB/s
